job_title,job_group
Angularjs (Từ 1.5 Năm Kinh Nghiệm),Other
AI Engineer,Other
Business Development Executive,Other
IT Infra Lead,Other
Secretary - Salary Up To 15M,Other
Senior AI Engineer - Salary Up To $2500,Other
Nhân Viên Triển Khai Phần Mềm,Other
Cộng Tác Viên IT,Other
Nhân Viên Web Designer (Html/Css + Wordpress),Other
Marketing Communication,Other
Quản Lý Dự Án (Lĩnh Vực Công Nghệ Thông Tin),Other
Tech Lead Làm Việc Tại Nghệ An ( Thu Nhập Upto 25M),Other
Kỹ Thuật Viên Tại Trung Tâm Bảo Hành,Other
PHP Laravel - From Mid. - Up To 2000K Usd,Other
Iot Embedded Engineer (Offer Upto $2000),Other
IT Manager (Microsoft-Based),Other
Qt Embedded Engineers (Offer Upto $2000),Other
Frontend Technical Lead,Other
.Net Technical Lead,Other
Technical Service Manager (Hybrid),Other
Technical Writer (Hybrid),Other
"Junior UX/UI Designer - Thanh Xuân, Hà Nội (Thu Nhập Tới 15M)",Other
System Network Fresher - Quận 7 - Hồ Chí Minh,Other
Business Analysis (N2 Up),Other
Solution Architect_Salary Up To $4000,Other
Senior Account,Other
Senior PHP,Other
Nhân Viên Thiết Kế Website - Lương Cứng 10 -17 Triệu (UI/UX),Other
Senior Unity Engineer,Other
"Nhân Viên Phát Triển Thị Trường B2B Hàn Quốc ( Từ 1 Năm Kinh Nghiệm, Tiếng Hàn Tốt ) Offer Upto",Other
Python Dev,Other
Nhân Viên IT,Other
Security Engineer (Incident Response),Other
Security Engineer (Pentesting),Other
Nhân Viên Kỹ Thuật Mạng,Other
Chuyên Viên Vận Hành Cloud (Ngành Công Nghệ Thông Tin - Thu Nhập Up To 60M),Other
UI/UX Designer,Other
Business Development,Other
Nhân Viên Giám Sát Camera,Other
Technical Leader (Vuejs/Nodejs/Java/Fullstack),Other
Nhân Viên Kỹ Thuật Máy Tính - Máy In,Other
Solution Architect - Hà Nội,Other
React JS,Other
Chuyên Viên Vận Hành Cloud (Lương Upto 60Tr),Other
Nhân Viên Triển Khai Chuyển Giao Phần Mềm,Other
Business Analyses For Product Team,Other
IT Comtor Tiếng Nhật ( Từ 1 Năm Kinh Nghiệm),Other
"Brse Engineer (2+ Năm Kinh Nghiệm, Topik 5 Trở Lên) - Onsite 3 Đến 6 Tháng Hàn Quốc_Lương Up To 35M Gross",Other
Middle Content Writer,Other
Security Solution Architect - Salary Up To $3000,Other
Delivery Manager (N1/N2),Other
Nhân Viên IT,Other
Chuyên Viên IT Phần Mềm,Other
Kỹ Thuật Hệ Thống-System Engineer,Other
Backend Senior,Other
Game Engineer (Unity),Other
Chuyên Viên Quản Trị Dữ Liệu Oracle (Dba) - HN,Other
Nhân Viên Game Design,Other
Fresher Android,Other
Android Technical Leader | T9154,Other
Delivery Manager | T9153,Other
.Net | T9152,Other
Java Technical Leader | T9149,Other
Nhân Viên Giám Sát An Toàn Thông Tin,Other
Backend Engineer (Golang),Other
Nhân Viên IT/ Business Application (Quản Trị Hệ Thống),Other
Nhân Viên Smartcontract,Other
"Chuyên Viên Triển Khai Và Vận Hành Hệ Thống Golf 3D, Lương 9-15 Triệu",Other
Employee Experience Executive,Other
Chuyên Viên Kiểm Soát Chất Lượng Giảng Dạy (Quận 1/HCM),Other
Delivery Manager N2 | T9144,Other
Senior Business Development,Other
Brse N2 | T9143,Other
Account Manager N1 | T9140,Other
Nhân Viên Triển Khai Phần Mềm,Other
Chuyên Viên Kiểm Soát Chất Lượng Giảng Dạy [Quận 1/HCM],Other
UI/ UX Designer In Can Tho,Other
Java Dev (Fullstack - Up To 2000$ Gross),Other
Kỹ Sư Quản Trị Hệ Thống Công Nghệ Thông Tin,Other
Fresher Backend Java,Other
"Nhân Viên Phát Triển Phần Mềm ( Không Yêu Cầu Kinh Nghiệm,Chấp Nhận Sinh Viên Mới Ra Trường)",Other
Java Teamleader,Other
Nhân Viên Video Editor (Lương Từ 7 - 12 Triệu),Other
Quality Assurance (Testing Manager),Other
AI Engineer (Nlp),Other
Nhân Viên Vận Hành Game,Other
Network Engineer (Upto 25 Triệu),Other
Nhân Viên Kỹ Thuật,Other
Kỹ Thuật Dự Án - IT System,Other
Technical Leader (PHP/.Net/Python) Thưởng Signing Bonus,Other
Technical Leader,Other
Embedded Linux Engineer,Other
Delivery Manager,Other
Nhân Viên Triển Khai Phần Mềm - Hà Nội - Bán Thời Gian,Other
Nhân Viên Triển Khai Và Hỗ Trợ Phần Mềm,Other
Font-End Engineer (PHP Laravel) Up To $1500,Other
Performance Test Engineer,Other
Marketing Leader - Lương Cứng Upto 30M,Other
Chuyên Viên IT Quản Lý ERP - Odoo,Other
Chuyên Viên Triển Khai & Vận Hành Vmware (Cloud Vmware Engineer),Other
Comtor Tiếng Nhật (Phiên Dịch IT Tiếng Nhật),Other
IT Communicator,Other
Kỹ Sư Infra (CSR Firewall) Tại Hà Nội,Other
Chuyên Viên IT Hệ Thống,Other
Nhân Viên Hỗ Trợ Kỹ Thuật,Other
Trưởng Phòng Kỹ Thuật Tại Hồ Chí Minh,Other
